date,open,high,low,close,volume
2021-10-07,75.53,76.41,75.52,75.59,3642231
2021-10-08,75.54,75.89,75.31,75.59,3327953
2021-10-11,75.9,76.16,75.57,75.8,3742351
2021-10-12,75.65,76.2,75.395,75.67,2788878
2021-10-13,75.75,76.22,75.085,76.07,3684085
2021-10-14,76.21,76.805,76.0,76.6,3738982
2021-10-15,76.66,76.99,75.995,76.25,4076001
2021-10-18,75.93,76.01,75.17,75.28,4330976
2021-10-19,74.7,74.9,74.291,74.78,5207005
2021-10-20,74.57,75.63,74.52,75.1,5317658
2021-10-21,75.43,75.6,74.83,74.89,4370481
2021-10-22,74.81,75.69,74.58,75.5,7665433
2021-10-25,75.02,75.35,74.2,75.14,6205884
2021-10-26,75.44,76.19,75.23,76.16,5400208
2021-10-27,76.31,76.61,75.61,75.9,4583084
2021-10-28,75.9,76.91,75.7,76.88,4849949
2021-10-29,77.025,77.45,75.67,76.19,6683400
2021-11-01,75.99,76.6,75.67,75.95,3998485
2021-11-02,75.79,76.605,75.57,76.27,4131890
2021-11-03,76.32,77.29,75.96,77.27,3916277
2021-11-04,76.89,77.53,76.87,77.29,3407095
2021-11-05,77.55,77.95,77.08,77.84,3560477
2021-11-08,77.85,77.95,77.0073,77.74,3335883
2021-11-09,77.87,78.175,77.485,78.05,3489440
2021-11-10,77.94,78.53,77.59,78.48,3263587
2021-11-11,78.39,78.43,77.84,77.99,2788498
2021-11-12,77.92,78.46,77.66,78.03,3044886
2021-11-15,78.25,78.35,77.875,78.3,3263887
2021-11-16,78.5,78.775,77.84,77.88,3140463
2021-11-17,77.77,77.78,77.17,77.58,3144606
2021-11-18,77.49,77.55,76.165,76.39,3416911
2021-11-19,76.47,77.66,76.47,77.2,3978182
2021-11-22,77.41,78.31,77.3,77.56,3600962
2021-11-23,77.69,78.175,77.24,77.93,2941891
2021-11-24,78.07,78.16,77.37,77.76,2350399
2021-11-26,77.78,78.6,76.96,77.06,2439916
2021-11-29,77.08,78.075,76.94,77.71,3923007
2021-11-30,77.14,77.3993,75.01,75.02,8702484
2021-12-01,75.5,76.53,75.32,75.39,3716781
2021-12-02,75.72,76.27,75.37,75.48,4665320
2021-12-03,76.02,76.78,75.435,76.77,5206252
