timestamp,open,high,low,close,volume,symbol,source,quote_currency,trade_count
2021-06-17T00:00:00Z,38337.1,39561.4,37405.0,38078.2,6003.2206182704,BTC,kraken:XBTUSD_1440.csv,USD,47838
2021-06-18T00:00:00Z,38078.2,38193.1,35126.0,35824.0,6558.4688904004,BTC,kraken:XBTUSD_1440.csv,USD,48363
2021-06-19T00:00:00Z,35824.0,36450.0,34901.0,35490.5,4485.0766557101,BTC,kraken:XBTUSD_1440.csv,USD,39726
2021-06-20T00:00:00Z,35484.2,36112.2,33370.0,35595.0,6286.3064383005,BTC,kraken:XBTUSD_1440.csv,USD,46003
2021-06-21T00:00:00Z,35595.7,35750.8,31260.0,31655.2,11395.9598990312,BTC,kraken:XBTUSD_1440.csv,USD,81658
2021-06-22T00:00:00Z,31620.6,33290.0,28816.6,32516.2,16188.9310221116,BTC,kraken:XBTUSD_1440.csv,USD,92292
2021-06-23T00:00:00Z,32516.5,34879.4,32402.3,33683.3,6290.8945684303,BTC,kraken:XBTUSD_1440.csv,USD,44943
2021-06-24T00:00:00Z,33685.8,35311.2,32333.0,34666.6,4823.6112407002,BTC,kraken:XBTUSD_1440.csv,USD,34441
2021-06-25T00:00:00Z,34669.6,35509.1,31278.3,31583.7,6444.5111914406,BTC,kraken:XBTUSD_1440.csv,USD,47454
2021-06-26T00:00:00Z,31577.3,32691.1,30179.0,32277.0,5160.3726539902,BTC,kraken:XBTUSD_1440.csv,USD,37577
2021-06-27T00:00:00Z,32275.9,34700.0,32025.0,34675.3,4214.1080614801,BTC,kraken:XBTUSD_1440.csv,USD,31154
2021-06-28T00:00:00Z,34700.0,35288.1,33872.6,34472.0,3680.10739483,BTC,kraken:XBTUSD_1440.csv,USD,30302
2021-06-29T00:00:00Z,34475.9,36643.2,34268.0,35903.3,4467.5153223501,BTC,kraken:XBTUSD_1440.csv,USD,33591
2021-06-30T00:00:00Z,35876.6,36090.7,34066.0,35046.2,5223.90102591,BTC,kraken:XBTUSD_1440.csv,USD,36260
2021-07-01T00:00:00Z,35070.4,35070.4,32717.2,33532.4,4023.92614027,BTC,kraken:XBTUSD_1440.csv,USD,29165
2021-07-02T00:00:00Z,33513.6,34000.0,32721.4,33802.9,2762.79516981,BTC,kraken:XBTUSD_1440.csv,USD,25534
2021-07-03T00:00:00Z,33802.8,34930.0,33348.9,34685.4,2772.05699173,BTC,kraken:XBTUSD_1440.csv,USD,19655
2021-07-04T00:00:00Z,34685.3,35948.9,34381.1,35305.0,1575.85747848,BTC,kraken:XBTUSD_1440.csv,USD,15687
2021-07-05T00:00:00Z,35305.1,35305.1,33080.3,33697.6,3947.92736985,BTC,kraken:XBTUSD_1440.csv,USD,29133
2021-07-06T00:00:00Z,33700.1,35113.4,33555.0,34235.0,2949.3821625,BTC,kraken:XBTUSD_1440.csv,USD,28495
2021-07-07T00:00:00Z,34215.4,35065.4,33825.5,33885.1,3122.54275335,BTC,kraken:XBTUSD_1440.csv,USD,21952
2021-07-08T00:00:00Z,33885.1,33946.8,32112.6,32882.2,5379.8765821503,BTC,kraken:XBTUSD_1440.csv,USD,32490
2021-07-09T00:00:00Z,32878.4,34088.0,32273.3,33791.0,2699.30888779,BTC,kraken:XBTUSD_1440.csv,USD,22056
2021-07-10T00:00:00Z,33820.7,34252.8,32968.2,33522.2,2916.1599983,BTC,kraken:XBTUSD_1440.csv,USD,18274
2021-07-11T00:00:00Z,33516.5,34612.1,33335.1,34246.9,1476.82314333,BTC,kraken:XBTUSD_1440.csv,USD,13067
2021-07-12T00:00:00Z,34246.9,34665.7,32678.0,33107.3,2411.81951801,BTC,kraken:XBTUSD_1440.csv,USD,21343
2021-07-13T00:00:00Z,33101.8,33340.7,32204.0,32722.9,2831.07843838,BTC,kraken:XBTUSD_1440.csv,USD,21246
2021-07-14T00:00:00Z,32722.9,33114.5,31555.6,32815.2,3406.33679921,BTC,kraken:XBTUSD_1440.csv,USD,24262
2021-07-15T00:00:00Z,32815.2,33188.3,31150.1,31832.6,3350.03809698,BTC,kraken:XBTUSD_1440.csv,USD,26113
2021-07-16T00:00:00Z,31868.5,32250.0,31050.0,31405.9,3545.77002185,BTC,kraken:XBTUSD_1440.csv,USD,23225
2021-07-17T00:00:00Z,31405.9,31934.4,31175.2,31510.0,2493.57716534,BTC,kraken:XBTUSD_1440.csv,USD,21328
2021-07-18T00:00:00Z,31503.3,32440.4,31133.4,31780.1,1750.63805531,BTC,kraken:XBTUSD_1440.csv,USD,14270
2021-07-19T00:00:00Z,31783.9,31894.6,30415.1,30820.5,3015.01589352,BTC,kraken:XBTUSD_1440.csv,USD,20775
2021-07-20T00:00:00Z,30827.2,31065.9,29288.6,29788.1,4981.1247797101,BTC,kraken:XBTUSD_1440.csv,USD,28976
2021-07-21T00:00:00Z,29788.1,32844.4,29505.0,32125.0,5662.4483062302,BTC,kraken:XBTUSD_1440.csv,USD,34703
2021-07-22T00:00:00Z,32125.0,32607.9,31722.4,32283.3,2665.92697389,BTC,kraken:XBTUSD_1440.csv,USD,17133
2021-07-23T00:00:00Z,32283.3,33639.0,32015.1,33639.0,2340.25370689,BTC,kraken:XBTUSD_1440.csv,USD,17680
2021-07-24T00:00:00Z,33639.0,34525.9,33431.8,34284.6,1796.6004337094,BTC,kraken:XBTUSD_1440.csv,USD,32986
2021-07-25T00:00:00Z,34281.7,35436.0,33869.9,35413.6,2190.29105584,BTC,kraken:XBTUSD_1440.csv,USD,22915
2021-07-26T00:00:00Z,35421.2,40533.0,35254.9,37274.9,10290.1571103803,BTC,kraken:XBTUSD_1440.csv,USD,72341
