date,open,high,low,close,volume
2019-01-02,38.82,38.94,38.12,38.43,6479275
2019-01-03,38.38,39.41,38.2,39.03,6359832
2019-01-04,39.12,39.94,38.9,39.82,6326091
2019-01-07,39.81,40.74,39.49,40.48,5695787
2019-01-08,40.79,41.22,40.63,41.09,6609402
2019-01-09,40.35,40.78,40.05,40.42,4521284
2019-01-10,40.42,41.44,40.42,41.42,8279792
2019-01-11,41.45,41.82,41.08,41.8,7417596
2019-01-14,41.65,41.8,41.42,41.79,3874752
2019-01-15,41.68,42.06,41.46,41.9,4486431
2019-01-16,41.97,42.3,41.69,42.27,4905569
2019-01-17,42.28,43.05,42.2,42.97,4664402
2019-01-18,43.2,43.7,43.02,43.47,5564755
2019-01-22,43.51,43.72,42.88,43.24,9260655
2019-01-23,43.68,44.29,43.62,44.01,5208617
2019-01-24,43.45,44.0,42.88,43.52,4700663
2019-01-25,43.56,44.22,43.21,43.29,7013887
2019-01-28,43.42,43.57,42.84,43.55,3552866
2019-01-29,43.65,43.72,43.2,43.58,3432036
2019-01-30,43.49,44.01,43.45,43.71,3140916
2019-01-31,43.73,44.47,43.48,44.44,4730010
2019-02-01,44.7,45.0,43.82,44.24,5061743
2019-02-04,44.23,44.3,43.59,43.83,3462442
2019-02-05,43.83,44.63,43.68,44.61,4625927
2019-02-06,44.48,44.69,43.77,43.85,3527116
2019-02-07,43.0,44.18,42.8,43.86,4021191
2019-02-08,43.71,43.97,43.12,43.95,3361972
2019-02-11,44.08,44.19,43.5,43.99,4027937
2019-02-12,43.99,44.94,43.99,44.84,4349487
2019-02-13,44.84,44.94,44.3,44.47,2993349
2019-02-14,44.19,44.76,43.91,44.53,2867702
2019-02-15,44.84,45.3,44.77,45.04,4188319
2019-02-19,45.0,45.92,44.81,45.74,5193203
2019-02-20,45.74,47.12,45.71,46.95,6591742
2019-02-21,46.75,47.22,46.43,46.95,5108233
2019-02-22,44.64,46.6,44.13,46.58,9796319
2019-02-25,46.73,46.8,45.82,46.2,6076761
2019-02-26,46.55,47.04,46.35,46.86,6002670
2019-02-27,46.75,47.09,46.51,47.09,5274475
2019-02-28,47.15,47.32,46.73,47.13,4245579
